texto_bruto,alvo
"Este produto é excelente, superou minhas expectativas.",positivo
"Na minha opinião, Este produto é excelente, superou minhas expectativas.",positivo
"Honestamente, Este produto é excelente, superou minhas expectativas.",positivo
"Comprei recentemente: Este produto é excelente, superou minhas expectativas.",positivo
"Péssima qualidade, quebrou no primeiro dia de uso.",negativo
"Na minha opinião, Péssima qualidade, quebrou no primeiro dia de uso.",negativo
"Honestamente, Péssima qualidade, quebrou no primeiro dia de uso.",negativo
"Comprei recentemente: Péssima qualidade, quebrou no primeiro dia de uso.",negativo
"Entrega rápida e embalagem impecável, recomendo.",positivo
"Na minha opinião, Entrega rápida e embalagem impecável, recomendo.",positivo
"Honestamente, Entrega rápida e embalagem impecável, recomendo.",positivo
"Comprei recentemente: Entrega rápida e embalagem impecável, recomendo.",positivo
"Não vale o preço pago, decepcionante.",negativo
"Na minha opinião, Não vale o preço pago, decepcionante.",negativo
"Honestamente, Não vale o preço pago, decepcionante.",negativo
"Comprei recentemente: Não vale o preço pago, decepcionante.",negativo
Atendimento ao cliente muito bom e produto funcional.,positivo
"Na minha opinião, Atendimento ao cliente muito bom e produto funcional.",positivo
"Honestamente, Atendimento ao cliente muito bom e produto funcional.",positivo
Comprei recentemente: Atendimento ao cliente muito bom e produto funcional.,positivo
Veio com defeito e o suporte não resolveu.,negativo
"Na minha opinião, Veio com defeito e o suporte não resolveu.",negativo
"Honestamente, Veio com defeito e o suporte não resolveu.",negativo
Comprei recentemente: Veio com defeito e o suporte não resolveu.,negativo
Design bonito e fácil de usar no dia a dia.,positivo
"Na minha opinião, Design bonito e fácil de usar no dia a dia.",positivo
"Honestamente, Design bonito e fácil de usar no dia a dia.",positivo
Comprei recentemente: Design bonito e fácil de usar no dia a dia.,positivo
"Material frágil, não recomendo para uso intenso.",negativo
"Na minha opinião, Material frágil, não recomendo para uso intenso.",negativo
"Honestamente, Material frágil, não recomendo para uso intenso.",negativo
"Comprei recentemente: Material frágil, não recomendo para uso intenso.",negativo
Custo-benefício ótimo para quem busca praticidade.,positivo
"Na minha opinião, Custo-benefício ótimo para quem busca praticidade.",positivo
"Honestamente, Custo-benefício ótimo para quem busca praticidade.",positivo
Comprei recentemente: Custo-benefício ótimo para quem busca praticidade.,positivo
Demorou demais para chegar e veio errado.,negativo
"Na minha opinião, Demorou demais para chegar e veio errado.",negativo
"Honestamente, Demorou demais para chegar e veio errado.",negativo
Comprei recentemente: Demorou demais para chegar e veio errado.,negativo
"Funciona perfeitamente, estou satisfeito com a compra.",positivo
"Na minha opinião, Funciona perfeitamente, estou satisfeito com a compra.",positivo
"Honestamente, Funciona perfeitamente, estou satisfeito com a compra.",positivo
"Comprei recentemente: Funciona perfeitamente, estou satisfeito com a compra.",positivo
Manual confuso e instalação complicada.,negativo
"Na minha opinião, Manual confuso e instalação complicada.",negativo
"Honestamente, Manual confuso e instalação complicada.",negativo
Comprei recentemente: Manual confuso e instalação complicada.,negativo
"Melhor compra que fiz este ano, qualidade top.",positivo
"Na minha opinião, Melhor compra que fiz este ano, qualidade top.",positivo
"Honestamente, Melhor compra que fiz este ano, qualidade top.",positivo
"Comprei recentemente: Melhor compra que fiz este ano, qualidade top.",positivo
Parou de funcionar após uma semana.,negativo
"Na minha opinião, Parou de funcionar após uma semana.",negativo
"Honestamente, Parou de funcionar após uma semana.",negativo
Comprei recentemente: Parou de funcionar após uma semana.,negativo
"Leve, compacto e eficiente para viagens.",positivo
"Na minha opinião, Leve, compacto e eficiente para viagens.",positivo
"Honestamente, Leve, compacto e eficiente para viagens.",positivo
"Comprei recentemente: Leve, compacto e eficiente para viagens.",positivo
Cheiro forte de plástico ao abrir a caixa.,negativo
"Na minha opinião, Cheiro forte de plástico ao abrir a caixa.",negativo
"Honestamente, Cheiro forte de plástico ao abrir a caixa.",negativo
Comprei recentemente: Cheiro forte de plástico ao abrir a caixa.,negativo
Bateria dura o dia inteiro sem problemas.,positivo
"Na minha opinião, Bateria dura o dia inteiro sem problemas.",positivo
"Honestamente, Bateria dura o dia inteiro sem problemas.",positivo
Comprei recentemente: Bateria dura o dia inteiro sem problemas.,positivo
Tela pequena demais para o que prometiam.,negativo
"Na minha opinião, Tela pequena demais para o que prometiam.",negativo
"Honestamente, Tela pequena demais para o que prometiam.",negativo
Comprei recentemente: Tela pequena demais para o que prometiam.,negativo
Software intuitivo e atualizações frequentes.,positivo
"Na minha opinião, Software intuitivo e atualizações frequentes.",positivo
"Honestamente, Software intuitivo e atualizações frequentes.",positivo
Comprei recentemente: Software intuitivo e atualizações frequentes.,positivo
Ruído excessivo durante o funcionamento.,negativo
"Na minha opinião, Ruído excessivo durante o funcionamento.",negativo
"Honestamente, Ruído excessivo durante o funcionamento.",negativo
Comprei recentemente: Ruído excessivo durante o funcionamento.,negativo
